Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34084,"The Waste Lands (The Dark Tower, #3)",Stephen        King,"King, Stephen",Ned Dameron,"=""0670032565""","=""9780670032563""",4,4.25,Viking Adult,Hardcover,422,2003,1991,,2020/07/01,,,read,,,,1,0
5094,"The Drawing of the Three (The Dark Tower, #2)",Stephen        King,"King, Stephen",,"=""0451210859""","=""9780451210852""",3,4.24,Signet,Paperback,463,2003,1987,,2020/07/01,,,read,,,,1,0
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Richard Howard,"=""0152023984""","=""9780152023980""",4,4.33,"Harcourt, Inc.",Hardcover,96,2000,1943,,2020/03/12,,,read,,,,1,0
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333846""","=""9780385333849""",4,4.10,Dial Press,Paperback,275,1999,1969,,2020/03/12,,,read,,,,1,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",4,4.35,Vintage,Paperback,512,2015,2011,,2020/03/12,,,read,,,,1,0
18144590,The Alchemist,Paulo Coelho,"Coelho, Paulo",,"=""0062315005""","=""9780062315007""",0,3.92,HarperOne,Paperback,182,2014,1988,,2020/03/12,,,read,,,,1,0
10256723,Ghost in the Wires: My Adventures as the World's Most Wanted Hacker,Kevin D. Mitnick,"Mitnick, Kevin D.","Steve Wozniak, William L. Simon","=""0316037702""","=""9780316037709""",4,3.96,"Little, Brown and Company",Hardcover,413,2011,2011,,2020/06/24,,,read,,,,1,0
40718726,Genghis Khan and the Making of the Modern World,Jack Weatherford,"Weatherford, Jack",,"=""""","=""""",0,4.06,Broadway Books,Kindle Edition,352,2018,2004,,2020/05/31,to-read,to-read (#22),to-read,,,,0,0
4406,East of Eden,John Steinbeck,"Steinbeck, John",,"=""0142000655""","=""9780142000656""",5,4.42,Penguin Books,Paperback,601,2002,1952,,2020/05/31,,,read,,,,1,0
3636,"The Giver (The Giver, #1)",Lois Lowry,"Lowry, Lois",,"=""0385732554""","=""9780385732550""",4,4.12,Ember,Paperback,208,2006,1993,,2020/03/12,,,read,,,,1,0
18114322,The Grapes of Wrath,John Steinbeck,"Steinbeck, John",,"=""067001690X""","=""9780670016907""",5,4.02,Viking,Hardcover,496,2014,1939,,2020/04/20,,,read,,,,1,0
17157681,"The Hobbit, Part One",J.R.R. Tolkien,"Tolkien, J.R.R.",David Wyatt,"=""0007926669""","=""9780007926664""",5,4.31,HarperCollins Children's Books,Paperback,230,2012,1937,,2020/04/20,,,read,,,,1,0
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William",,"=""0743477111""","=""9780743477116""",2,3.74,Washington Square Press,Mass Market Paperback,281,2002,1597,,2020/04/20,,,read,,,,1,0
8908,World War Z: An Oral History of the Zombie War,Max Brooks,"Brooks, Max",,"=""0307346609""","=""9780307346605""",4,4.02,Crown,Hardcover,342,2006,2006,,2020/03/12,,,read,,,,1,0
17690,The Trial,Franz Kafka,"Kafka, Franz","Max Brod, Willa Muir, Edwin Muir","=""""","=""""",0,3.95,Vintage,Paperback,255,2001,1925,,2020/03/12,to-read,to-read (#21),to-read,,,,0,0
7126,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",Robin Buss,"=""""","=""""",5,4.31,Penguin Classics,Paperback,1276,2003,1846,,2020/03/12,,,read,,,,1,0
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Joseph Frank","=""""","=""""",0,4.28,Penguin,Paperback,671,2002,1866,,2020/03/12,to-read,to-read (#20),to-read,,,,0,0
64216,"Guards! Guards! (Discworld, #8; City Watch, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0061020648""","=""9780061020643""",0,4.34,HarperTorch,Mass Market Paperback,376,2001,1989,,2020/03/12,to-read,to-read (#19),to-read,,,,0,0
12394068,A Street Cat Named Bob: How One Man and His Cat Found Hope on the Streets,James Bowen,"Bowen, James",Tine Verbič,"=""1444737090""","=""9781444737097""",0,3.98,Hodder & Stoughton,Hardcover,279,2012,2012,,2020/03/12,to-read,to-read (#18),to-read,,,,0,0
2715,Salt: A World History,Mark Kurlansky,"Kurlansky, Mark",,"=""0142001619""","=""9780142001615""",0,3.75,Penguin Books,Paperback,484,2003,2002,,2020/03/12,to-read,to-read (#17),to-read,,,,0,0
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"Pratchett, Terry",Neil Gaiman,"=""""","=""""",0,4.26,William Morrow Paperbacks,Mass Market Paperback,491,2006,1990,,2020/03/12,to-read,to-read (#16),to-read,,,,0,0
43615,"The Gunslinger (The Dark Tower, #1)",Stephen        King,"King, Stephen",,"=""1501143514""","=""9781501143519""",4,3.92,Plume,Paperback,231,2003,1982,,2020/03/12,,,read,,,,1,0
35031085,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",Charlotte Gordon,"=""0143131842""","=""9780143131847""",4,3.88,Penguin Classics,Paperback,260,2018,1818,,2020/03/12,,,read,,,,1,0
10614,Misery,Stephen        King,"King, Stephen",,"=""0450417395""","=""9780450417399""",0,4.23,New English Library,Paperback,370,1988,1987,,2020/03/12,to-read,to-read (#15),to-read,,,,0,0
126232,"Jaws (Jaws, #1)",Peter Benchley,"Benchley, Peter",,"=""""","=""""",0,3.95,Random House,Hardcover,368,2005,1974,,2020/03/12,to-read,to-read (#14),to-read,,,,0,0
10592,Carrie,Stephen        King,"King, Stephen",,"=""1416524304""","=""9781416524304""",3,3.99,Pocket,Mass Market Paperback,272,2005,1974,,2020/03/12,,,read,,,,1,0
33124137,Pet Sematary,Stephen        King,"King, Stephen",,"=""""","=""""",4,4.07,Scribner,Kindle Edition,580,2014,1983,,2020/03/12,,,read,,,,1,0
11588,"The Shining (The Shining, #1)",Stephen        King,"King, Stephen",,"=""0450040186""","=""9780450040184""",0,4.28,New English Library (Hodder & Stoughton) ,Paperback,497,1980,1977,,2020/03/12,to-read,to-read (#13),to-read,,,,0,0
830502,It,Stephen        King,"King, Stephen",,"=""0450411435""","=""9780450411434""",4,4.24,New English Library,Paperback,1116,1987,1986,,2020/03/12,,,read,,,,1,0
8909,The War of the Worlds,H.G. Wells,"Wells, H.G.",Arthur C. Clarke,"=""0375759239""","=""9780375759239""",4,3.83,Random House Publishing Group,Paperback,192,2002,1898,,2020/03/12,,,read,,,,1,0
70535,"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,"Clarke, Arthur C.",,"=""""","=""""",5,4.17,Roc,Paperback,297,2000,1968,,2020/03/12,,,read,,,,1,0
40604658,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,"Crichton, Michael",,"=""0307763056""","=""9780307763051""",4,4.11,Ballantine Books,Kindle Edition,466,2012,1990,,2020/03/12,,,read,,,,1,0
350,Stranger in a Strange Land,Robert A. Heinlein,"Heinlein, Robert A.",James Warhola,"=""""","=""""",0,3.92,Ace,Paperback,525,1991,1961,,2020/03/12,to-read,to-read (#12),to-read,,,,0,0
4069,Man’s Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, William J. Winslade, Isle Lasch","=""080701429X""","=""9780807014295""",5,4.38,Beacon Press,Paperback,165,2006,1946,,2020/03/12,,,read,,,,1,0
4865,How to Win Friends & Influence People,Dale Carnegie,"Carnegie, Dale",,"=""""","=""""",5,4.22,Gallery Books,Paperback,288,1998,1936,,2020/03/12,,,read,,,,1,0
4214,Life of Pi,Yann Martel,"Martel, Yann",,"=""0770430074""","=""9780770430078""",0,3.94,Seal Books,Paperback,460,2006,2001,,2020/03/12,to-read,to-read (#11),to-read,,,,0,0
10799,A Farewell to Arms,Ernest Hemingway,"Hemingway, Ernest",,"=""0099910101""","=""9780099910107""",0,3.82,Arrow Books,Paperback,293,2004,1929,,2020/03/12,to-read,to-read (#10),to-read,,,,0,0
46787,Uncle Tom’s Cabin,Harriet Beecher Stowe,"Stowe, Harriet Beecher",,"=""""","=""""",0,3.91,Wordsworth Classics,Paperback,438,1999,1852,,2020/03/12,to-read,to-read (#9),to-read,,,,0,0
58696,David Copperfield,Charles Dickens,"Dickens, Charles","Edward Killoran Brown, Jeremy Tambling, Phiz","=""""","=""""",0,4.04,Penguin ,Paperback,882,2004,1850,,2020/03/12,to-read,to-read (#8),to-read,,,,0,0
17250,The Crucible,Arthur Miller,"Miller, Arthur",Christopher W.E. Bigsby,"=""0142437336""","=""9780142437339""",3,3.61,Penguin Books,Paperback,143,2003,1946,,2020/03/12,,,read,,,,1,0
332613,One Flew Over the Cuckoo’s Nest,Ken Kesey,"Kesey, Ken",,"=""""","=""""",0,4.20,Signet,Mass Market Paperback,325,1963,1962,,2020/03/12,to-read,to-read (#7),to-read,,,,0,0
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.","Francis Ledoux, Maria Skibniewska","=""0618346252""","=""9780618346257""",5,4.40,Houghton Mifflin Harcourt,Paperback,398,2003,1954,,2020/03/12,,,read,,,,1,0
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",0,3.99,Simon & Schuster ,Paperback,453,2004,1961,,2020/03/12,to-read,to-read (#6),to-read,,,,0,0
24583,The Adventures of Tom Sawyer,Mark Twain,"Twain, Mark","Guy Cardwell, John Seelye, Mark Hallaq, Amanda Lee","=""""","=""9780143039563""",4,3.92,Penguin Classics,Paperback,244,2006,1876,,2020/03/12,,,read,,,,1,0
8852,Macbeth,William Shakespeare,"Shakespeare, William",,"=""0743477103""","=""9780743477109""",4,3.89,Simon & Schuster,Mass Market Paperback,249,2013,1623,,2020/03/12,,,read,,,,1,0
1622,A Midsummer Night’s Dream,William Shakespeare,"Shakespeare, William","Barbara A. Mowat, Paul Werstine, Alan Durband, Roma Gill, Catherine Belsey, A.R. Braunmuller","=""0743477545""","=""9780743477543""",3,3.94,Simon & Schuster,Mass Market Paperback,298,2016,1595,,2020/03/12,,,read,,,,1,0
295,Treasure Island,Robert Louis Stevenson,"Stevenson, Robert Louis",N.C. Wyeth,"=""0753453800""","=""9780753453803""",0,3.85,Kingfisher,Hardcover,352,2001,1882,,2020/03/12,to-read,to-read (#5),to-read,,,,0,0
1420,Hamlet,William Shakespeare,"Shakespeare, William","Harold Bloom, Rex Gibson, Israel Gollancz, Henry Norman Hudson, L.A. Sherman, Max J. Herzberg","=""0521618746""","=""9780521618748""",4,4.02,Cambridge University Press,Paperback,289,2005,1601,,2020/03/12,,,read,,,,1,0
2165,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,"=""0684830493""","=""9780684830490""",0,3.81,Scribner,Hardcover,96,1996,1952,,2020/03/12,to-read,to-read (#4),to-read,,,,0,0
5326,A Christmas Carol,Charles Dickens,"Dickens, Charles",Joe L. Wheeler,"=""1561797464""","=""9781561797462""",4,4.09,Bethany House Publishers ,Paperback,184,1999,1843,,2020/03/12,,,read,,,,1,0
2623,Great Expectations,Charles Dickens,"Dickens, Charles","Kate Flint, Margaret Cardwell","=""0192833596""","=""9780192833594""",0,3.80,Oxford University Press,Paperback,544,1998,1861,,2020/03/12,to-read,to-read (#3),to-read,,,,0,0
231804,The Outsiders,S.E. Hinton,"Hinton, S.E.",,"=""0670532576""","=""9780670532575""",4,4.13,Puffin Books (US/CAN),Mass Market Paperback,208,1997,1967,,2020/03/12,,,read,,,,1,0
13079982,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",5,3.96,Simon & Schuster,Kindle Edition,194,2011,1953,,2020/03/12,,,read,,,,1,0
890,Of Mice and Men,John Steinbeck,"Steinbeck, John",,"=""0142000671""","=""9780142000670""",5,3.89,Penguin Books,Paperback,107,2002,1937,,2020/03/12,,,read,,,,1,0
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",5,3.70,Penguin Books ,Paperback,182,1999,1954,,2020/03/12,,,read,,,,1,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",5,4.19,Houghton Mifflin Harcourt,Kindle Edition,298,2013,1949,,2020/03/12,,,read,,,,1,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",4,3.80,Back Bay Books,Paperback,277,2001,1951,,2020/03/12,,,read,,,,1,0
5907,"The Hobbit, or There and Back Again (The Lord of the Rings, #0)",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin","=""""","=""""",5,4.29,Houghton Mifflin,Paperback,366,2002,1937,,2020/03/12,,,read,,,,1,0
960,"Angels & Demons (Robert Langdon, #1)",Dan    Brown,"Brown, Dan",,"=""1416524797""","=""9781416524793""",0,3.95,Pocket Books,Paperback,736,2006,2000,,2020/03/12,to-read,to-read (#2),to-read,,,,0,0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""""","=""""",0,4.29,Modern Library,Paperback,279,2023,1813,,2020/03/12,to-read,to-read (#1),to-read,,,,0,0
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse","=""0451526341""","=""9780451526342""",5,4.00,Signet Classics,Mass Market Paperback,141,1996,1945,,2020/03/12,,,read,,,,1,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""0743273567""","=""9780743273565""",3,3.93,Scribner,Paperback,180,1925,1925,,2020/03/12,,,read,,,,1,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""0060935464""","=""9780060935467""",5,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2020/03/12,,,read,,,,1,0
