Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6219656,The Lottery,Shirley Jackson,"Jackson, Shirley",,"=""1563127873""","=""9781563127878""",4,4.05,Perfection Learning,Paperback,30,1990,1948,2021/06/26,2020/03/12,,,read,,,,1,0
2493,The Time Machine,H.G. Wells,"Wells, H.G.","Greg Bear, Carlo Pagetti","=""""","=""""",5,3.90,Signet Classics,Paperback,118,2002,1895,2021/06/21,2020/03/12,,,read,,,,1,0
51496,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"Stevenson, Robert Louis","Vladimir Nabokov, Dan Chaon, Jerome Charyn, Simon Vestdijk","=""0451528956""","=""9780451528957""",5,3.83,Signet Classic,Mass Market Paperback,139,2003,1886,2021/06/15,2020/03/12,,,read,,,,1,0
216363,The Man in the High Castle,Philip K. Dick,"Dick, Philip K.",,"=""0679740678""","=""9780679740674""",3,3.60,Vintage,Paperback,259,1992,1962,2021/06/14,2020/03/12,,,read,,,,1,0
25666050,Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,"Christian, Brian",Tom  Griffiths,"=""1627790365""","=""9781627790369""",0,4.13,Henry Holt and Co.,Hardcover,368,2016,2016,,2021/01/19,to-read,to-read (#68),to-read,,,,0,0
40651883,Snow Crash,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,4.02,Spectra,Kindle Edition,559,2018,1992,,2021/03/25,to-read,to-read (#67),to-read,,,,0,0
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",0,4.28,St. Martin's Griffin,Paperback,264,2004,1939,,2020/07/03,to-read,to-read (#66),to-read,,,,0,0
11989,The Plague,Albert Camus,"Camus, Albert",Stuart Gilbert,"=""""","=""""",4,4.02,Vintage International,Paperback,308,1991,1947,,2021/03/07,,,read,,,,1,0
44882,Code: The Hidden Language of Computer Hardware and Software,Charles Petzold,"Petzold, Charles",,"=""0735611319""","=""9780735611313""",4,4.39,Microsoft Press,Paperback,396,2000,1999,,2021/01/19,,,read,,,,1,0
6088007,"Neuromancer (Sprawl, #1)",William Gibson,"Gibson, William",,"=""110114646X""","=""9781101146460""",4,3.89,Ace,Kindle Edition,288,2007,1984,2021/05/16,2021/01/01,,,read,,,,1,0
19691,"The Hunt for Red October (Jack Ryan, #3)",Tom Clancy,"Clancy, Tom",,"=""0425172902""","=""9780425172902""",0,4.11,Berkley Trade,Mass Market Paperback,432,1999,1984,,2021/04/27,to-read,to-read (#65),to-read,,,,0,0
40445,"Altered Carbon (Takeshi Kovacs, #1)",Richard K. Morgan,"Morgan, Richard K.",,"=""0345457692""","=""9780345457691""",0,4.04,Del Rey / Ballantine Books,Mass Market Paperback,526,2006,2002,,2021/04/01,to-read,to-read (#64),to-read,,,,0,0
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",0,4.23,Crown Publishers,Hardcover,480,2011,2011,,2021/04/01,to-read,to-read (#63),to-read,,,,0,0
8275612,None of Us Were Like This Before: American Soldiers and Torture,Joshua E.S. Phillips,"Phillips, Joshua E.S.",,"=""1844675998""","=""9781844675999""",4,4.12,Verso,Hardcover,256,2010,2010,,2020/12/15,,,read,,,,1,0
16101128,"The 5th Wave (The 5th Wave, #1)",Rick Yancey,"Yancey, Rick",,"=""0399162410""","=""9780399162411""",3,4.01,G.P. Putnam's Sons Books for Young Readers,Hardcover,457,2013,2013,,2021/03/23,,,read,,,,1,0
355697,All Quiet on the Western Front,Erich Maria Remarque,"Remarque, Erich Maria",Arthur Wesley Wheen,"=""0449213943""","=""9780449213940""",5,4.09,Ballantine Books,Mass Market Paperback,296,1987,1928,2021/03/14,2020/12/01,,,read,,,,1,0
310612,A Confederacy of Dunces,John Kennedy Toole,"Toole, John Kennedy",Walker Percy,"=""0802130208""","=""9780802130204""",5,3.89,Grove Weidenfeld,Paperback,394,1994,1980,2021/03/08,2020/07/03,,,read,,,,1,0
830,Snow Crash,Neal Stephenson,"Stephenson, Neal",,"=""0553380958""","=""9780553380958""",0,4.02,Bantam Books,Paperback,438,2000,1992,,2021/03/04,to-read,to-read (#62),to-read,,,,0,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",0,4.42,Ballantine Books,Hardcover,384,2014,2011,,2021/02/17,to-read,to-read (#61),to-read,,,,0,0
42283862,Cult of the Dead Cow: How the Original Hacking Supergroup Might Just Save the World,Joseph Menn,"Menn, Joseph",,"=""154176238X""","=""9781541762381""",0,3.74,PublicAffairs,Hardcover,256,2019,2019,,2020/12/29,to-read,to-read (#60),to-read,,,,0,0
647492,Ordinary Men: Reserve Police Battalion 101 and the Final Solution in Poland,Christopher R. Browning,"Browning, Christopher R.",,"=""0060995068""","=""9780060995065""",5,4.11,Harper Perennial,Paperback,271,1998,1992,2021/02/12,2020/12/21,,,read,,,,1,0
14743,The God Delusion,Richard Dawkins,"Dawkins, Richard",,"=""0618680004""","=""9780618680009""",0,3.90,Houghton Mifflin Co.,Hardcover,374,2006,2006,,2021/02/10,to-read,to-read (#59),to-read,,,,0,0
17349,The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,"Sagan, Carl",Ann Druyan,"=""0345409469""","=""9780345409461""",0,4.29,Ballantine Books,Paperback,459,1997,1995,,2021/02/10,to-read,to-read (#58),to-read,,,,0,0
30363785,The Art of Invisibility: The World's Most Famous Hacker Teaches You How to Be Safe in the Age of Big Brother and Big Data,Kevin D. Mitnick,"Mitnick, Kevin D.",Robert Vamosi,"=""0316380504""","=""9780316380508""",5,3.97,"Little, Brown and Company",Hardcover,320,2017,2017,2021/02/03,2020/12/29,,,read,,,,1,0
23316526,"The Second Machine Age: Work, Progress, and Prosperity in a Time of Brilliant Technologies",Erik Brynjolfsson,"Brynjolfsson, Erik",Andrew McAfee,"=""0393350649""","=""9780393350647""",4,3.91,W. W. Norton & Company,Paperback,336,2016,2014,2021/01/28,2021/01/22,,,read,,,,1,0
56829,Hackers: Heroes of the Computer Revolution,Steven Levy,"Levy, Steven",,"=""0141000511""","=""9780141000510""",0,4.16,Penguin Books,Paperback,464,2001,1984,,2021/01/25,to-read,to-read (#57),to-read,,,,0,0
21856367,"The Innovators: How a Group of Hackers, Geniuses and Geeks Created the Digital Revolution",Walter Isaacson,"Isaacson, Walter",,"=""147670869X""","=""9781476708690""",0,4.12,Simon and Schuster,Hardcover,542,2014,2011,,2021/01/25,to-read,to-read (#56),to-read,,,,0,0
78127,On Killing: The Psychological Cost of Learning to Kill in War and Society,Dave Grossman,"Grossman, Dave",,"=""0316191442""","=""9780316191449""",0,4.12,Back Bay Books,Paperback,367,2003,1995,,2021/01/24,to-read,to-read (#55),to-read,,,,0,0
36402034,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",4,4.09,Ballantine Books,Kindle Edition,258,2008,1968,2021/01/24,2020/03/12,,,read,,,,1,0
49176,Games People Play,Eric Berne,"Berne, Eric",,"=""0345032799""","=""9780345032799""",4,3.74,Penguin,Mass Market Paperback,192,1964,1964,2021/01/24,2021/01/20,,,read,,,,1,0
8201080,The Master Switch: The Rise and Fall of Information Empires,Tim Wu,"Wu, Tim",,"=""0307269930""","=""9780307269935""",0,3.89,Knopf,Hardcover,384,2010,2010,,2021/01/22,to-read,to-read (#54),to-read,,,,0,0
7954936,What Technology Wants,Kevin Kelly,"Kelly, Kevin",,"=""0670022152""","=""9780670022151""",0,3.73,Viking,Hardcover,416,2010,2010,,2021/01/22,to-read,to-read (#53),to-read,,,,0,0
26195941,The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power,Shoshana Zuboff,"Zuboff, Shoshana",,"=""1610395697""","=""9781610395694""",0,4.06,PublicAffairs,Hardcover,691,2019,2018,,2021/01/22,to-read,to-read (#52),to-read,,,,0,0
21,A Short History of Nearly Everything,Bill Bryson,"Bryson, Bill",,"=""076790818X""","=""9780767908184""",0,4.22,Crown,Paperback,544,2004,2003,,2021/01/22,to-read,to-read (#51),to-read,,,,0,0
61539,The Structure of Scientific Revolutions,Thomas S. Kuhn,"Kuhn, Thomas S.",,"=""0226458083""","=""9780226458083""",0,4.04,University of Chicago Press,Paperback,226,1996,1962,,2021/01/22,to-read,to-read (#50),to-read,,,,0,0
1662160,Your Inner Fish: a Journey into the 3.5-Billion-Year History of the Human Body,Neil Shubin,"Shubin, Neil",,"=""0375424474""","=""9780375424472""",0,4.03,Pantheon,Hardcover,229,2008,2008,,2021/01/22,to-read,to-read (#49),to-read,,,,0,0
