,Title,ISBN,Author,Additional_Authors,My_Rating,Average_Rating,Publisher,Number_of_Pages,Year_Published,Original_Publication_Year,Date_Read,Exclusive_Shelf,Series_Info,is_series,book_age,have_read,length_category,Genre
53,The God Delusion,"=""0618680004""",Richard Dawkins,,,3.9,Houghton Mifflin Co.,374.0,2006,2006.0,,to-read,Standalone,False,19.0,False,Long,"god, atheism, bible"
54,The Demon-Haunted World: Science as a Candle in the Dark,"=""0345409469""",Carl Sagan,Ann Druyan,,4.29,Ballantine Books,459.0,1997,1995.0,,to-read,Standalone,False,30.0,False,Long,"Open Library Staff Picks, Long Now Manual for Civilization, Pseudowetenschap"
55,The Art of Invisibility: The World's Most Famous Hacker Teaches You How to Be Safe in the Age of Big Brother and Big Data,"=""0316380504""",Kevin D. Mitnick,Robert Vamosi,5.0,3.97,"Little, Brown and Company",320.0,2017,2017.0,2021-02-03,read,Standalone,False,8.0,True,Long,"Personal Computers, TECHNOLOGY & ENGINEERING, Web"
56,"The Second Machine Age: Work, Progress, and Prosperity in a Time of Brilliant Technologies","=""0393350649""",Erik Brynjolfsson,Andrew McAfee,4.0,3.91,W. W. Norton & Company,336.0,2016,2014.0,2021-01-28,read,Standalone,False,11.0,True,Long,"Social stratification, Social aspects, Progress"
57,Hackers: Heroes of the Computer Revolution,"=""0141000511""",Steven Levy,,,4.16,Penguin Books,464.0,2001,1984.0,,to-read,Standalone,False,41.0,False,Long,"Computer programming, Electronic digital computers, Programming"
58,"The Innovators: How a Group of Hackers, Geniuses and Geeks Created the Digital Revolution","=""147670869X""",Walter Isaacson,,,4.12,Simon and Schuster,542.0,2014,2011.0,,to-read,Standalone,False,14.0,False,Long,"Biography, Computer scientists, History"
59,On Killing: The Psychological Cost of Learning to Kill in War and Society,"=""0316191442""",Dave Grossman,,,4.12,Back Bay Books,367.0,2003,1995.0,,to-read,Standalone,False,30.0,False,Long,"Combat, Homicide, Military Psychology"
60,Do Androids Dream of Electric Sheep?,"=""""",Philip K. Dick,,4.0,4.09,Ballantine Books,258.0,2008,1968.0,2021-01-24,read,Standalone,False,57.0,True,Medium,Unknown
61,Games People Play,"=""0345032799""",Eric Berne,,4.0,3.74,Penguin,192.0,1964,1964.0,2021-01-24,read,Standalone,False,61.0,True,Medium,"Interpersonal relations, Social interaction, Social Psychology"
62,The Master Switch: The Rise and Fall of Information Empires,"=""0307269930""",Tim Wu,,,3.89,Knopf,384.0,2010,2010.0,,to-read,Standalone,False,15.0,False,Long,"History, Telecommunication, Information technology"
63,What Technology Wants,"=""0670022152""",Kevin Kelly,,,3.73,Viking,416.0,2010,2010.0,,to-read,Standalone,False,15.0,False,Long,"Social aspects of Technology, Technology, Social aspects"
64,The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power,"=""1610395697""",Shoshana Zuboff,,,4.06,PublicAffairs,691.0,2019,2018.0,,to-read,Standalone,False,7.0,False,Long,"Social aspects, Consumer behavior, Consumer profiling"
65,A Short History of Nearly Everything,"=""076790818X""",Bill Bryson,,,4.22,Crown,544.0,2004,2003.0,,to-read,Standalone,False,22.0,False,Long,"Science, Popular works, Ciencia"
66,The Structure of Scientific Revolutions,"=""0226458083""",Thomas S. Kuhn,,,4.04,University of Chicago Press,226.0,1996,1962.0,,to-read,Standalone,False,63.0,False,Medium,"Sciences, Histoire, Philosophie"
67,Your Inner Fish: a Journey into the 3.5-Billion-Year History of the Human Body,"=""0375424474""",Neil Shubin,,,4.03,Pantheon,229.0,2008,2008.0,,to-read,Standalone,False,17.0,False,Medium,"Human anatomy, Human evolution, Nature"
68,The Shallows: What the Internet Is Doing to Our Brains,"=""0393339750""",Nicholas Carr,,,3.89,W. W. Norton & Company,280.0,2011,2010.0,,to-read,Standalone,False,15.0,False,Medium,"neurobiology, human perception, computers"
69,Ubik,"=""8498000831""",Philip K. Dick,,,4.11,La factoría de ideas,288.0,2004,1969.0,,to-read,Standalone,False,56.0,False,Medium,"Fiction, Death, Businessmen"
70,Computer Science Distilled: Learn the Art of Solving Computational Problems,"=""0997316004""",Wladston Ferreira Filho,Raimondo Pictet,,4.07,Code Energy LLC ,,2017,2017.0,,to-read,Standalone,False,8.0,False,Long,"Computer science, Computer algorithms, Programming languages (electronic computers)"
71,The Pragmatic Programmer: From Journeyman to Master,"=""020161622X""",Dave         Thomas,"Andy   Hunt, Ward Cunningham",,4.33,Addison-Wesley Professional,321.0,1999,1999.0,,to-read,Standalone,False,26.0,False,Long,"Computer programming, Vocational education, Projectmanagement"
72,Game Theory for Security and Risk Management: From Theory to Practice,"=""3319752685""",Stefan Rass,Stefan Schauer,,0.0,Birkhäuser,418.0,2018,,,to-read, (Static & Dynamic Game Theory: Foundations & Applications),False,,False,Long,Unknown
73,Iacocca: An Autobiography,"=""0553251473""",Lee Iacocca,William Novak,,3.98,Bantam,366.0,1986,1984.0,,to-read,Standalone,False,41.0,False,Long,"Biography, Automobile industry and trade, Businessmen"
74,Night ,"=""0374500010""",Elie Wiesel,"Marion Wiesel, François Mauriac",,4.38,Hill & Wang,120.0,2006,1956.0,,read," (The Night Trilogy, #1)",False,69.0,True,Short,"Holocaust literature, death marches, Talmud"
75,A Bug Hunter's Diary: A Guided Tour Through the Wilds of Software Security,"=""1593273851""",Tobias Klein,,,3.92,No Starch Press,200.0,2011,2011.0,,to-read,Standalone,False,14.0,False,Medium,"Malware (Computer software), Debugging in computer science, Computer security"
76,Tribe of Hackers: Cybersecurity Advice from the Best Hackers in the World,"=""1793464189""",Marcus J. Carey,Jennifer Jin,,3.88,Independently published,412.0,2019,2019.0,,to-read,Standalone,False,6.0,False,Long,"Data protection, Computer networks, security measures, Computer security"
77,The Art of Deception: Controlling the Human Element of Security,"=""076454280X""",Kevin D. Mitnick,"William   L.    Simon, Steve Wozniak",,3.76,Wiley,352.0,2003,2001.0,,to-read,Standalone,False,24.0,False,Long,"Computer Technology, Nonfiction, Social aspects"
78,The Handmaid’s Tale,"=""038549081X""",Margaret Atwood,,,4.14,Anchor Books,311.0,1998,1985.0,,read," (The Handmaid's Tale, #1)",False,40.0,True,Long,"brothels, Canadian authors, Canadian fantasy fiction"
79,War: How Conflict Shaped Us,"=""1984856146""",Margaret MacMillan,,,3.57,Random House,304.0,2020,2020.0,2020-12-29,read,Standalone,False,5.0,True,Long,"New York Times reviewed, World history, War and society"
80,The Road,"=""0307265439""",Cormac McCarthy,,4.0,3.99,Alfred A. Knopf,241.0,2006,2006.0,2020-12-22,read,Standalone,False,19.0,True,Medium,"Fiction, Dystopia, Adventure"
81,Countdown to Zero Day: Stuxnet and the Launch of the World's First Digital Weapon,"=""077043617X""",Kim Zetter,,,4.17,Crown,406.0,2014,2014.0,,to-read,Standalone,False,11.0,False,Long,"Rootkits (Computer software), Nuclear arms control, Network-centric operations (Military science)"
82,The Shock Doctrine: The Rise of Disaster Capitalism,"=""0805079831""",Naomi Klein,,,4.28,Metropolitan Books,558.0,2007,2007.0,,to-read,Standalone,False,18.0,False,Long,"Financial crises, Capitalism, Free enterprise"
83,Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,"=""0684818868""",James W. Loewen,,,3.97,"Touchstone Books/Simon & Schuster, Inc.",383.0,1996,1995.0,,to-read,Standalone,False,30.0,False,Long,"Historiography, Racism in textbooks, Thanksgiving Day"
84,Bury My Heart at Wounded Knee: An Indian History of the American West,"=""0805066691""",Dee Brown,,,4.25,"Henry Holt and Company, LLC",509.0,2001,1970.0,,to-read,Standalone,False,55.0,False,Long,"Indians of North America, History, Wars"
85,Soonish: Ten Emerging Technologies That'll Improve and/or Ruin Everything,"=""0399563822""",Kelly Weinersmith,Zach Weinersmith,4.0,3.94,Penguin Press,368.0,2017,2017.0,2020-12-15,read,Standalone,False,8.0,True,Long,"Popular works, Humor, Technological forecasting"
86,Drink: A Cultural History of Alcohol,"=""1592403034""",Iain Gately,,,3.85,Gotham,560.0,2008,2008.0,,to-read,Standalone,False,17.0,False,Long,"Cooking & Food, History, Nonfiction"
87,Johnny Got His Gun,"=""0806512814""",Dalton Trumbo,Ron Kovic,,4.2,Citadel,309.0,1998,1939.0,,to-read,Standalone,False,86.0,False,Long,"Fiction, World War, 1914-1918, Disfigured persons"
88,A Game of Thrones,"=""0553588486""",George R.R. Martin,,,4.44,Bantam,835.0,2005,1996.0,,read," (A Song of Ice and Fire, #1)",False,29.0,True,Long,"Action & Adventure, American Fantasy fiction, Betrayal"
89,The AI Delusion,"=""0198824300""",Gary Smith,,3.0,3.65,Oxford University Press,256.0,2018,,,read,Standalone,False,,True,Medium,"Social aspects, Computers, Artificial intelligence"
90,The Chocolate War,"=""0375829873""",Robert Cormier,,2.0,3.49,Ember,267.0,2004,1974.0,,read," (Chocolate War, #1)",False,51.0,True,Medium,"Gangs, Juvenile fiction, Fiction in English"
91,The Stranger,"=""""",Albert Camus,Matthew  Ward,4.0,4.03,Vintage International,123.0,1989,1942.0,,read,Standalone,False,83.0,True,Short,Unknown
92,Fight Club,"=""0393355942""",Chuck Palahniuk,,5.0,4.18,W. W. Norton & Company,224.0,2018,1996.0,2020-07-06,read,Standalone,False,29.0,True,Medium,"Fiction, Millennialism, Young men"
93,I Am Legend,"=""0795315635""",Richard Matheson,,,4.06, RosettaBooks ,162.0,2011,1954.0,,read,Standalone,False,71.0,True,Medium,"Fiction, horror, Fiction, science fiction, general, Vampires, fiction"
94,I Have No Mouth & I Must Scream,"=""0441363954""",Harlan Ellison,Theodore Sturgeon,5.0,3.89,Ace,134.0,1967,1967.0,,read,Standalone,False,58.0,True,Short,"Fiction, science fiction, collections & anthologies"
95,Hatchet,"=""0689840926""",Gary Paulsen,,4.0,3.78,Atheneum Books for Young Readers: Richard Jackson Books,208.0,2000,1987.0,,read," (Brian's Saga, #1)",False,38.0,True,Medium,"Divorce, plane crash, survival"
96,The Divine Comedy: Inferno - Purgatorio - Paradiso,"=""0679433139""",Dante Alighieri,"Allen Mandelbaum, Eugenio Montale, Peter Armour, Sandro Botticelli",,4.08,Everyman's Library,798.0,1995,1320.0,,to-read,Standalone,False,705.0,False,Long,"Poetry (poetic works by one author), Literatura, Portraits"
97,American Gods,"=""""",Neil Gaiman,,,4.11,William Morrow,635.0,2011,2001.0,,to-read,Standalone,False,24.0,False,Long,Unknown
98,The Brothers Karamazov,"=""0374528373""",Fyodor Dostoevsky,"Richard Pevear, Larissa Volokhonsky",,4.38,"Farrar, Straus and Giroux",796.0,2002,1880.0,,to-read,Standalone,False,145.0,False,Long,"Literature - Classics / Criticism, Russian, Literature: Classics"
