,Title,ISBN,Author,Additional_Authors,My_Rating,Average_Rating,Publisher,Number_of_Pages,Year_Published,Original_Publication_Year,Date_Read,Exclusive_Shelf,Series_Info,is_series,book_age,have_read,length_category,Genre
129,Jaws,"=""""",Peter Benchley,,,3.95,Random House,368.0,2005,1974.0,,to-read," (Jaws, #1)",False,51.0,False,Long,Unknown
130,Carrie,"=""1416524304""",Stephen        King,,3.0,3.99,Pocket,272.0,2005,1974.0,,read,Standalone,False,51.0,True,Medium,Unknown
131,Pet Sematary,"=""""",Stephen        King,,4.0,4.07,Scribner,580.0,2014,1983.0,,read,Standalone,False,42.0,True,Long,Unknown
132,The Shining,"=""0450040186""",Stephen        King,,,4.28,New English Library (Hodder & Stoughton) ,497.0,1980,1977.0,,to-read," (The Shining, #1)",False,48.0,False,Long,Unknown
133,It,"=""0450411435""",Stephen        King,,4.0,4.24,New English Library,1116.0,1987,1986.0,,read,Standalone,False,39.0,True,Long,Unknown
134,The War of the Worlds,"=""0375759239""",H.G. Wells,Arthur C. Clarke,4.0,3.83,Random House Publishing Group,192.0,2002,1898.0,,read,Standalone,False,127.0,True,Medium,Unknown
135,2001: A Space Odyssey,"=""""",Arthur C. Clarke,,5.0,4.17,Roc,297.0,2000,1968.0,,read," (Space Odyssey, #1)",False,57.0,True,Medium,Unknown
136,Jurassic Park,"=""0307763056""",Michael Crichton,,4.0,4.11,Ballantine Books,466.0,2012,1990.0,,read," (Jurassic Park, #1)",False,35.0,True,Long,"dichogamy, corporate espionage, science fiction"
137,Stranger in a Strange Land,"=""""",Robert A. Heinlein,James Warhola,,3.92,Ace,525.0,1991,1961.0,,to-read,Standalone,False,64.0,False,Long,Unknown
138,Man’s Search for Meaning,"=""080701429X""",Viktor E. Frankl,"Harold S. Kushner, William J. Winslade, Isle Lasch",5.0,4.38,Beacon Press,165.0,2006,1946.0,,read,Standalone,False,79.0,True,Medium,"Nazi concentration camps, psychotherapy, meaning of life"
139,How to Win Friends & Influence People,"=""""",Dale Carnegie,,5.0,4.22,Gallery Books,288.0,1998,1936.0,,read,Standalone,False,89.0,True,Medium,Unknown
140,Life of Pi,"=""0770430074""",Yann Martel,,,3.94,Seal Books,460.0,2006,2001.0,,to-read,Standalone,False,24.0,False,Long,"Teenage boys, Zoo animals, Fiction"
141,A Farewell to Arms,"=""0099910101""",Ernest Hemingway,,,3.82,Arrow Books,293.0,2004,1929.0,,to-read,Standalone,False,96.0,False,Medium,"Cuentos de guerra, World War, 1914-1918, Open Library Staff Picks"
142,Uncle Tom’s Cabin,"=""""",Harriet Beecher Stowe,,,3.91,Wordsworth Classics,438.0,1999,1852.0,,to-read,Standalone,False,173.0,False,Long,Unknown
143,David Copperfield,"=""""",Charles Dickens,"Edward Killoran Brown, Jeremy Tambling, Phiz",,4.04,Penguin ,882.0,2004,1850.0,,to-read,Standalone,False,175.0,False,Long,Unknown
144,The Crucible,"=""0142437336""",Arthur Miller,Christopher W.E. Bigsby,3.0,3.61,Penguin Books,143.0,2003,1946.0,,read,Standalone,False,79.0,True,Short,"fiction classics, literary criticism, historical fiction"
145,One Flew Over the Cuckoo’s Nest,"=""""",Ken Kesey,,,4.2,Signet,325.0,1963,1962.0,,to-read,Standalone,False,63.0,False,Long,Unknown
146,The Fellowship of the Ring,"=""0618346252""",J.R.R. Tolkien,"Francis Ledoux, Maria Skibniewska",5.0,4.4,Houghton Mifflin Harcourt,398.0,2003,1954.0,,read," (The Lord of the Rings, #1)",False,71.0,True,Long,"Elves, Dwarves, evil"
147,Catch-22,"=""0684833395""",Joseph Heller,,,3.99,Simon & Schuster ,453.0,2004,1961.0,,to-read,Standalone,False,64.0,False,Long,"Open Library Staff Picks, Satire, War stories"
148,The Adventures of Tom Sawyer,"=""""",Mark Twain,"Guy Cardwell, John Seelye, Mark Hallaq, Amanda Lee",4.0,3.92,Penguin Classics,244.0,2006,1876.0,,read,Standalone,False,149.0,True,Medium,Unknown
149,Macbeth,"=""0743477103""",William Shakespeare,,4.0,3.89,Simon & Schuster,249.0,2013,1623.0,,read,Standalone,False,402.0,True,Medium,"Drama, Regicides, Kings and rulers"
150,A Midsummer Night’s Dream,"=""0743477545""",William Shakespeare,"Barbara A. Mowat, Paul Werstine, Alan Durband, Roma Gill, Catherine Belsey, A.R. Braunmuller",3.0,3.94,Simon & Schuster,298.0,2016,1595.0,,read,Standalone,False,430.0,True,Medium,"Drama, Courtship, Plays"
151,Treasure Island,"=""0753453800""",Robert Louis Stevenson,N.C. Wyeth,,3.85,Kingfisher,352.0,2001,1882.0,,to-read,Standalone,False,143.0,False,Long,"Fiction, Treasure Island (Imaginary place), Treasure-trove"
152,Hamlet,"=""0521618746""",William Shakespeare,"Harold Bloom, Rex Gibson, Israel Gollancz, Henry Norman Hudson, L.A. Sherman, Max J. Herzberg",4.0,4.02,Cambridge University Press,289.0,2005,1601.0,,read,Standalone,False,424.0,True,Medium,"performing arts, nonfiction classics, Shakespeare plays, texts"
153,The Old Man and the Sea,"=""0684830493""",Ernest Hemingway,,,3.81,Scribner,96.0,1996,1952.0,,to-read,Standalone,False,73.0,False,Short,"American Sea stories, Male friendship, Fishers"
154,A Christmas Carol,"=""1561797464""",Charles Dickens,Joe L. Wheeler,4.0,4.09,Bethany House Publishers ,184.0,1999,1843.0,,read,Standalone,False,182.0,True,Medium,"Ghost stories, Readers, Ebenzer Scrooge (Fictitious character)"
155,Great Expectations,"=""0192833596""",Charles Dickens,"Kate Flint, Margaret Cardwell",,3.8,Oxford University Press,544.0,1998,1861.0,,to-read,Standalone,False,164.0,False,Long,"Authors, Benefactors, Bildungsromans"
156,The Outsiders,"=""0670532576""",S.E. Hinton,,4.0,4.13,Puffin Books (US/CAN),208.0,1997,1967.0,,read,Standalone,False,58.0,True,Medium,"juvenile works, violence, fiction classics"
157,Fahrenheit 451,"=""""",Ray Bradbury,,5.0,3.96,Simon & Schuster,194.0,2011,1953.0,,read,Standalone,False,72.0,True,Medium,Unknown
